Account Number,Post Date,Check,Description,Debit,Credit,Status,Balance
"****9242",2/10/2026,,"POS Withdrawal MCCARY LANDSCAPES LLC 9320 15TH AVENUE SOUTH SEATTLE      WA",662.10,,Posted,13180.94
"****9242",2/10/2026,,"External Withdrawal Cintas 1234567890 - WEB PAY  Cintas",1728.77,,Posted,13843.04
"****9242",2/10/2026,,"External Withdrawal WASHINGTON ALARM  - ACH",128.19,,Posted,15571.81
"****9242",2/9/2026,,"POS Withdrawal SQ *ESSENTIAL SERVICES, L SQUAREUP.COM           SEATTLE",300.00,,Posted,15700.00
"****9242",2/9/2026,,"Deposit Internet Transfer from 3580897145",,16000.00,Posted,16000.00
"****9242",2/6/2026,,"Overdraft Protection Deposit",,538.07,Posted,.00
"****9242",2/6/2026,,"External Withdrawal SEATTLEUTILTIES  - WEB_PAY",1948.08,,Posted,-538.07
"****9242",2/4/2026,,"External Withdrawal SEATTLEUTILTIES  - WEB_PAY",97.57,,Posted,1410.01
"****9242",2/2/2026,,"External Withdrawal NATIONWIDE INS EDI - EDI PYMNTS",540.50,,Posted,1507.58
"****9242",1/21/2026,,"External Withdrawal WASHINGTON ALARM  - 676749",395.22,,Posted,2048.08
"****9242",1/20/2026,,"POS Withdrawal B2 ENGINEERS PLLC 15306 61ST PL NE       KENMORE      WAUS",540.75,,Posted,2443.30
"****9242",1/12/2026,,"External Withdrawal WASHINGTON ALARM  - 672106",691.06,,Posted,2984.05
"****9242",1/10/2026,,"POS Withdrawal MCCARY LANDSCAPES LLC 9320 15TH AVENUE SOUTH SEATTLE      WA",662.10,,Posted,3675.11
"****9242",1/9/2026,,"POS Withdrawal SQ *ESSENTIAL SERVICES, L SQUAREUP.COM           SEATTLE",450.00,,Posted,4337.21
"****9242",1/9/2026,,"Deposit Internet Transfer from 3580897145",,3000.00,Posted,4787.21
"****9242",1/2/2026,,"External Withdrawal NATIONWIDE INS EDI - EDI PYMNTS",540.50,,Posted,1787.21
